Site Name:,Snake Range West Pinyon-Juniper,,Snake Range West Subalpine,,Snake Range West Montane,
Deployment:,Wind velocity monitor,,Wind velocity monitor,,Wind velocity monitor,
Monitored System:,Atmosphere,,Atmosphere,,Atmosphere,
Measured Property:,Wind speed,,Wind speed,,Wind speed,
Vertical Offset from Surface:,10m height,,10m height,,10m height,
Units:,m/s,,m/s,,m/s,
Measurement Type:,Average,,Average,,Average,
Aggregation interval:,1-Hour aggregates of 00:10:00 data,,1-Hour aggregates of 00:10:00 data,,1-Hour aggregates of 00:10:00 data,
Time Stamp ((UTC-08:00) Pacific Time (US & Canada)),Aggregated Value,Number of Constituient Values,Aggregated Value,Number of Constituient Values,Aggregated Value,Number of Constituient Values
1/1/2016 1:00:00 AM,0.854964000000000000,6,5.299659200000000000,6,1.128254453000000000,6
1/1/2016 2:00:00 AM,0.461196266000000000,6,5.316050666000000000,6,1.415328640000000000,6
1/1/2016 3:00:00 AM,0.340197440000000000,6,5.289973333000000000,6,1.614708480000000000,6
1/1/2016 4:00:00 AM,0.412543413000000000,6,4.669332800000000000,6,1.881442346000000000,6
1/1/2016 5:00:00 AM,0.586441973000000000,6,4.403344000000000000,6,1.642201440000000000,6
1/1/2016 6:00:00 AM,0.438918773000000000,6,4.135865066000000000,6,0.883202026000000000,6
1/1/2016 7:00:00 AM,0.364263093000000000,6,4.207391466000000000,6,1.039442506000000000,6
1/1/2016 8:00:00 AM,0.465666666000000000,6,4.187274666000000000,6,0.906746133000000000,6
1/1/2016 9:00:00 AM,0.297728640000000000,6,3.328734346000000000,6,0.822479093000000000,6
1/1/2016 10:00:00 AM,0.169949706000000000,6,3.665206453000000000,6,0.615574080000000000,6
1/1/2016 11:00:00 AM,0.854814986000000000,6,3.154835786000000000,6,1.528280746000000000,6
1/1/2016 12:00:00 PM,0.833357066000000000,6,2.510800160000000000,6,3.181658186000000000,6
1/1/2016 1:00:00 PM,1.091299146000000000,6,2.546712373000000000,6,3.652763840000000000,6
1/1/2016 2:00:00 PM,0.973653120000000000,6,3.262274400000000000,6,4.158142560000000000,6
1/1/2016 3:00:00 PM,0.954728426000000000,6,3.113335573000000000,6,4.199940800000000000,6
1/1/2016 4:00:00 PM,0.824565280000000000,6,2.735959306000000000,6,2.481593546000000000,6
1/1/2016 5:00:00 PM,0.781500426000000000,6,2.792956906000000000,6,1.878089546000000000,6
1/1/2016 6:00:00 PM,0.775018346000000000,6,3.255792320000000000,6,1.819899840000000000,6
1/1/2016 7:00:00 PM,0.577650186000000000,6,3.479386826000000000,6,2.804952480000000000,6
1/1/2016 8:00:00 PM,0.755274080000000000,6,2.920065280000000000,6,2.347779573000000000,6
1/1/2016 9:00:00 PM,0.554553120000000000,6,3.141275573000000000,6,2.495004746000000000,6
1/1/2016 10:00:00 PM,0.668771840000000000,6,4.245389866000000000,6,2.737449440000000000,6
1/1/2016 11:00:00 PM,0.671603093000000000,6,4.439107200000000000,6,3.088822880000000000,6
1/2/2016 12:00:00 AM,0.491073440000000000,6,4.185784533000000000,6,3.206841440000000000,6
1/2/2016 1:00:00 AM,0.857795253000000000,6,4.268337920000000000,6,3.146193013000000000,6
1/2/2016 2:00:00 AM,0.909577386000000000,6,4.450283200000000000,6,2.880949280000000000,6
1/2/2016 3:00:00 AM,1.127062346000000000,6,3.765194400000000000,6,3.384614346000000000,6
1/2/2016 4:00:00 AM,1.013886720000000000,6,3.961519466000000000,6,3.567453706000000000,6
1/2/2016 5:00:00 AM,1.206486453000000000,6,4.000560960000000000,6,3.984467520000000000,6
1/2/2016 6:00:00 AM,1.359821173000000000,6,3.953919786000000000,6,3.231205120000000000,6
1/2/2016 7:00:00 AM,0.882382453000000000,6,4.607492266000000000,6,3.111696426000000000,6
1/2/2016 8:00:00 AM,0.955249973000000000,6,4.104199733000000000,6,3.174729066000000000,6
1/2/2016 9:00:00 AM,1.005094933000000000,6,4.796739200000000000,6,2.834382613000000000,6
1/2/2016 10:00:00 AM,0.850493600000000000,6,5.402478400000000000,6,4.430166400000000000,6
1/2/2016 11:00:00 AM,1.108584693000000000,6,5.406948800000000000,6,3.704918506000000000,6
1/2/2016 12:00:00 PM,1.791065760000000000,6,4.971084800000000000,6,2.269026026000000000,6
1/2/2016 1:00:00 PM,1.277938346000000000,6,5.235583466000000000,6,4.402002880000000000,6
1/2/2016 2:00:00 PM,1.019623733000000000,6,5.564902933000000000,6,4.854854400000000000,6
1/2/2016 3:00:00 PM,1.054939893000000000,6,6.040255466000000000,6,5.038885866000000000,6
1/2/2016 4:00:00 PM,0.701331253000000000,6,5.921044800000000000,6,4.591100800000000000,6
1/2/2016 5:00:00 PM,0.564164480000000000,6,5.485180800000000000,6,3.814368800000000000,6
1/2/2016 6:00:00 PM,0.854591466000000000,6,5.173742933000000000,6,4.197705600000000000,6
